Mach,CD Rocket
10.04,0.150545617
10.05,0.150488681
10.06,0.150431884
10.07,0.150375217
10.08,0.150318688
10.09,0.150262281
10.1,0.15020601
10.11,0.150149878
10.12,0.150093876
10.13,0.150038013
10.14,0.149982278
10.15,0.14992666
10.16,0.14987119
10.17,0.149815847
10.18,0.149760632
10.19,0.149705544
10.2,0.149650565
10.21,0.149595751
10.22,0.149541045
10.23,0.149486466
10.24,0.149432021
10.25,0.149377694
10.26,0.149323504
10.27,0.149269419
10.28,0.149215482
10.29,0.149161658
10.3,0.14910796
10.31,0.149054389
10.32,0.149000943
10.33,0.148947629
10.34,0.148894422
10.35,0.14884135
10.36,0.148788382
10.37,0.148735548
10.38,0.148682828
10.39,0.148630234
10.4,0.148577772
10.41,0.148525403
10.42,0.14847318
10.43,0.14842106
10.44,0.148369071
10.45,0.148317187
10.46,0.148265435
10.47,0.148213787
10.48,0.14816226
10.49,0.148110859
10.5,0.148059567
10.51,0.148008387
10.52,0.147957331
10.53,0.147906395
10.54,0.147855572
10.55,0.147804851
10.56,0.147754241
10.57,0.147703752
10.58,0.147653394
10.59,0.147603127
10.6,0.14755299
10.61,0.147502944
10.62,0.147453031
10.63,0.147403225
10.64,0.147353522
10.65,0.147303929
10.66,0.147254453
10.67,0.147205089
10.68,0.147155825
10.69,0.147106679
10.7,0.147057644
10.71,0.147008727
10.72,0.146959901
10.73,0.146911192
10.74,0.146862572
10.75,0.146814072
10.76,0.146765691
10.77,0.146717405
10.78,0.14666924
10.79,0.146621163
10.8,0.146573194
10.81,0.146525353
10.82,0.146477579
10.83,0.146429932
10.84,0.146382395
10.85,0.146334953
10.86,0.146287608
10.87,0.146240372
10.88,0.146193243
10.89,0.146146219
10.9,0.146099293
10.91,0.146052473
10.92,0.14600575
10.93,0.145959132
10.94,0.145912601
10.95,0.145866196
10.96,0.145819878
10.97,0.145773664
10.98,0.145727545
10.99,0.145681524
11,0.145635616
11.01,0.145589786
11.02,0.14554407
11.03,0.145498439
11.04,0.145452923
11.05,0.145407491
11.06,0.145362164
